id,item_type,title,genres,release_year,author_director,actors,description
20,movie,Втеча з Шоушенка,Драма,1994,Френк Дарабонт,Тім Роббінс;Морган Фрімен,Історія надії та дружби у в'язниці
21,movie,Темний лицар,Екшн;Трилер,2008,Крістофер Нолан,Крістіан Бейл;Гіт Леджер,Боротьба Бетмена проти Джокера
22,movie,Матриця,Наукова фантастика;Екшн,1999,Вачовські,Кіану Рівз;Лоренс Фішберн,Програміст дізнається правду про реальність
23,movie,Криваве весілля,Драма;Історичний,2017,Андрій Пунін,Андрій Ісаєнко;Софія Галицька,Фільм про події часів НКВС у 1930-х
24,movie,Захар Беркут,Історичний;Пригоди,2019,Ахтем Сеітаблаєв,Роберт Патрік;Захар Шадрін,Історія про боротьбу карпатських горян проти монголів
25,movie,Атлантида,Драма;Антиутопія,2019,Валентин Васянович,Андрій Римарук;Людмила Білека,Постапокаліптична історія про Донбас
26,book,Заповіт,Поезія;Класика,1845,Тарас Шевченко,,Iconic поема про волю та національну ідентичність
27,book,Лісова пісня,Драма;Поезія,1912,Леся Українка,,Драма-феєрія про кохання та природу
28,book,Земля,Проза;Класика,1933,Олександр Довженко,,Оповідь про українське село та його трагедії
29,book,Маруся Чурай,Історична проза;Роман,1979,Ліна Костенко,,Історія легендарної співачки XVII століття
30,book,Сад гетсиманський,Поезія;Філософія,1985,Іван Драч,,Філософська лірика про життя та смерть
31,book,Чорна рада,Історична проза;Класика,1857,Пантелеймон Куліш,,Роман про козацьку добу та боротьбу за владу
32,book,Захар Беркут,Історична проза;Класика,1883,Іван Франко,,Повість про боротьбу карпатців проти монгольської навали
33,book,Хіба ревуть воли як ясла повні,Проза;Класика,1880,Панас Мирний,,Соціальний роман про селянське життя
34,book,Камінний хрест,Проза;Драма,1900,Василь Стефаник,,Новела про важке життя українських селян
35,book,Місто,Проза;Класика,1928,Валер'ян Підмогильний,,Модерністський роман про міське життя 1920-х
36,book,Дівчата з Васюківки,Проза;Класика,1928,Григорій Тютюнник,,Цикл оповідань про дитинство в українському селі
37,book,Роксолана,Історична проза;Роман,1980,Павло Загребельний,,Роман про українку що стала султаншею
38,book,Диво,Історична проза;Філософія,1968,Павло Загребельний,,Філософський роман про Григорія Сковороду
39,book,Чотири броди,Сучасна проза;Детектив,2012,Олесь Ульяненко,,Містичний детектив про таємниці Києва
40,book,Депеш Мод,Сучасна проза;Драма,2004,Сергій Жадан,,Роман про покоління 1990-х в Україні
41,book,Anarchy in the UKR,Сучасна проза;Поезія,2005,Сергій Жадан,,Поетична книга про сучасну Україну
42,book,Біг Мак,Сучасна проза;Постмодернізм,2003,Сергій Жадан,,Експериментальна проза про пострадянський простір
43,book,Лускунчик-98,Сучасна проза;Магічний реалізм,1998,Юрій Андрухович,,Постмодерністський роман про трансформації
44,book,Рекреації,Сучасна проза;Постмодернізм,1992,Юрій Андрухович,,Роман-карнавал про пошуки ідентичності
45,book,Московіада,Сучасна проза;Гумор,1993,Юрій Андрухович,,Іронічний роман про українця в Москві
46,book,Танго смерті,Сучасна проза;Філософія,2012,Юрій Винничук,,Філософська історія про львівську в'язницю
47,book,Весняні ігри в осінніх садах,Сучасна проза;Детектив,2005,Юрій Винничук,,Детективна історія у довоєнному Львові
48,book,Аптекар,Сучасна проза;Історія,2015,Юрій Винничук,,Сімейна сага про життя в Галичині
49,book,Сталінка,Сучасна проза;Постмодернізм,2014,Любко Дереш,,Експериментальна проза про радянське минуле
50,book,Культ,Сучасна проза;Трилер,2001,Любко Дереш,,Психологічний трилер про сектантство
51,book,Поклоніння ящірці,Сучасна проза;Трилер,2005,Любко Дереш,,Містичний трилер про таємні культи
52,book,Гербарій,Сучасна проза;Драма,2018,Наталя Доляк,,Сімейна історія крізь призму трьох поколінь
53,book,Felix Austria,Сучасна проза;Історія,2014,Софія Андрухович,,Роман про Галичину часів Австро-Угорщини
54,book,Старе село,Сучасна проза;Драма,2015,Софія Андрухович,,Історія про повернення в рідне село
55,book,Фріда,Сучасна проза;Біографія,2019,Софія Андрухович,,Роман про життя Фріди Кало
56,book,Час смертохлібів,Історична проза;Драма,2020,Сергій Жадан,,Поетичний роман про Голодомор
57,book,Месопотамія,Сучасна проза;Драма,2014,Сергій Жадан,,Книга про війну на Донбасі
58,book,Життя Марії,Історична проза;Філософія,2007,Олесь Гончар,,Біографічний роман про дружину Шевченка
59,book,Перехрестя,Історична проза;Драма,1928,Михайло Коцюбинський,,Новела про революційні події
60,book,Fata morgana,Класика;Проза,1910,Михайло Коцюбинський,,Психологічна новела про ілюзії
61,book,Дім на горі,Сучасна проза;Драма,2015,Валерій Шевчук,,Історія про будинок та його мешканців
62,book,Птахи з невидимого острова,Сучасна проза;Філософія,2009,Валерій Шевчук,,Філософська проза про пошуки істини
63,book,Століття Якова,Сучасна проза;Магічний реалізм,2017,Людмила Улицька,,Сімейна сага про XX століття
64,book,Зелений шатер,Сучасна проза;Драма,2011,Людмила Улицька,,Роман про життя в СРСР
65,book,Казка казок,Класика;Фентезі,1835,Ганс Крістіан Андерсен,,Збірка чарівних казок для дітей
66,book,Злочин і кара,Класика;Психологія,1866,Федір Достоєвський,,Психологічний роман про гріх та спокуту
67,book,Брати Карамазови,Класика;Філософія,1880,Федір Достоєвський,,Філософський роман про віру та сумнів
68,book,Ідіот,Класика;Драма,1869,Федір Достоєвський,,Роман про князя Мишкіна та його долю
69,book,Війна і мир,Класика;Історична проза,1869,Лев Толстой,,Епопея про російське суспільство часів Наполеона
70,book,Анна Кареніна,Класика;Драма,1877,Лев Толстой,,Трагічна історія кохання заміжньої жінки
71,book,Воскресіння,Класика;Філософія,1899,Лев Толстой,,Роман про моральне відродження
72,book,Мертві душі,Класика;Сатира,1842,Микола Гоголь,,Сатира на російське поміщицьке суспільство
73,book,Тарас Бульба,Класика;Історична проза,1835,Микола Гоголь,,Повість про козаків та їхню боротьбу
74,book,Шинель,Класика;Проза,1842,Микола Гоголь,,Повість про маленьку людину
75,book,Вишневий сад,Класика;Драма,1904,Антон Чехов,,П'єса про занепад дворянства
76,book,Три сестри,Класика;Драма,1901,Антон Чехов,,П'єса про мрії та розчарування
77,book,Граф Монте-Крісто,Класика;Пригоди,1844,Александр Дюма,,Пригодницький роман про помсту
78,book,Три мушкетери,Класика;Пригоди,1844,Александр Дюма,,Пригоди д'Артаньяна та його друзів
79,book,Отець Горіо,Класика;Драма,1835,Оноре де Бальзак,,Роман про батьківську любов та жадібність
80,book,Шагренева шкіра,Класика;Фентезі,1831,Оноре де Бальзак,,Філософський роман про бажання та долю
81,book,Знедолені,Класика;Соціальна проза,1862,Віктор Гюго,,Епічна історія про соціальну несправедливість
82,book,Собор Паризької Богоматері,Класика;Історична проза,1831,Віктор Гюго,,Історія про Квазімодо та Есмеральду
83,book,Червоне і чорне,Класика;Психологія,1830,Стендаль,,Роман про амбіції та кохання
84,book,Пармська обитель,Класика;Пригоди,1839,Стендаль,,Історія про політичні інтриги в Італії
85,book,Мадам Боварі,Класика;Драма,1857,Гюстав Флобер,,Трагічна історія провінційної мрійниці
86,book,Виховання почуттів,Класика;Драма,1869,Гюстав Флобер,,Роман про кохання та розчарування
87,book,Гордість і упередження,Класика;Романтика,1813,Джейн Остін,,Романтична історія про Елізабет і Дарсі
88,book,Розум і почуття,Класика;Романтика,1811,Джейн Остін,,Роман про двох сестер та їхнє життя
89,book,Джейн Ейр,Класика;Романтика,1847,Шарлотта Бронте,,Історія гувернантки та її кохання
90,book,Грозовий перевал,Класика;Драма,1847,Емілі Бронте,,Готична історія про пристрасть та помсту
91,book,Дракула,Класика;Жахи,1897,Брем Стокер,,Готичний роман про вампіра
92,book,Франкенштейн,Класика;Жахи,1818,Мері Шеллі,,Історія про створення штучного життя
93,book,Портрет Доріана Грея,Класика;Філософія,1890,Оскар Вайльд,,Філософський роман про красу та гріх
94,book,Кентервільський примар,Класика;Гумор,1887,Оскар Вайльд,,Гумористична історія про привида
95,book,Пригоди Тома Сойєра,Класика;Пригоди,1876,Марк Твен,,Пригоди хлопчика на Міссісіпі
96,book,Пригоди Гекльберрі Фінна,Класика;Пригоди,1884,Марк Твен,,Подорож по річці та боротьба з расизмом
97,book,Моббі Дік,Класика;Пригоди,1851,Герман Мелвілл,,Епічна історія про полювання на білого кита
98,book,Острів скарбів,Класика;Пригоди,1883,Роберт Луїс Стівенсон,,Пригодницька історія про пошуки скарбів
99,book,20000 льє під водою,Класика;Наукова фантастика,1870,Жуль Верн,,Підводна подорож капітана Немо
100,book,Навколо світу за 80 днів,Класика;Пригоди,1873,Жуль Верн,,Навколосвітня подорож Філеаса Фоґґа
101,book,Машина часу,Класика;Наукова фантастика,1895,Герберт Веллс,,Подорож у майбутнє
102,book,Війна світів,Класика;Наукова фантастика,1898,Герберт Веллс,,Інопланетне вторгнення на Землю
103,book,Старий і море,Класика;Драма,1952,Ернест Хемінґвей,,Історія старого рибалки та його боротьби
104,book,Прощавай зброє,Класика;Воєнна проза,1929,Ернест Хемінґвей,,Історія кохання під час Першої світової
105,book,По кому дзвонить дзвін,Класика;Воєнна проза,1940,Ернест Хемінґвей,,Роман про громадянську війну в Іспанії
106,book,Великий Гетсбі,Класика;Драма,1925,Френсіс Скотт Фіцджеральд,,Історія про американську мрію 1920-х
107,book,Ніжна ніч,Класика;Драма,1934,Френсіс Скотт Фіцджеральд,,Роман про американців у Європі
108,book,Убити пересмішника,Класика;Драма,1960,Гарпер Лі,,Роман про расизм у південних штатах
109,book,Над прірвою у житі,Класика;Драма,1951,Джером Селінджер,,Історія підлітка про дорослішання
110,book,На дорозі,Класика;Пригоди,1957,Джек Керуак,,Роман покоління бітників про подорожі
111,book,451 градус за Фаренгейтом,Антиутопія;Наукова фантастика,1953,Рей Бредбері,,Роман про суспільство без книг
112,book,Марсіанські хроніки,Наукова фантастика;Філософія,1950,Рей Бредбері,,Збірка оповідань про колонізацію Марса
113,book,Чудовий новий світ,Антиутопія;Наукова фантастика,1932,Олдос Гакслі,,Антиутопія про технократичне суспільство
114,book,Володар мух,Класика;Філософія,1954,Вільям Голдінг,,Алегорія про природу людини
115,book,Ловець у житі,Класика;Драма,1951,Джером Д. Селінджер,,Історія про підлітковий бунт
116,book,Ім'я рози,Історична проза;Детектив,1980,Умберто Еко,,Детективна історія у середньовічному монастирі
117,book,Маятник Фуко,Філософія;Містика,1988,Умберто Еко,,Роман про таємні товариства
118,book,Парфумер,Історична проза;Драма,1985,Патрік Зюскінд,,Історія генія запахів у Франції XVIII століття
119,book,Код да Вінчі,Трилер;Містика,2003,Ден Браун,,Детективний трилер про таємниці церкви
120,book,Янгол і Демон,Трилер;Містика,2000,Ден Браун,,Протистояння науки та релігії
121,book,Дівчина з татуюванням дракона,Детектив;Трилер,2005,Стіг Ларссон,,Детективна історія про журналіста та хакерку
122,book,Дівчина що гралася з вогнем,Детектив;Трилер,2006,Стіг Ларссон,,Продовження історії Лісбет Саландер
123,book,Гаррі Поттер і Таємна кімната,Фентезі;Пригоди,1998,Джоан Роулінг,,Друга книга про Гаррі Поттера
124,book,Гаррі Поттер і в'язень Азкабану,Фентезі;Пригоди,1999,Джоан Роулінг,,Третя книга про юного чарівника
125,book,Гаррі Поттер і Келих вогню,Фентезі;Пригоди,2000,Джоан Роулінг,,Четверта книга про магічний турнір
126,book,Гаррі Поттер і Орден Фенікса,Фентезі;Пригоди,2003,Джоан Роулінг,,П'ята книга про боротьбу з темними силами
127,book,Гаррі Поттер і Напівкровний Принц,Фентезі;Пригоди,2005,Джоан Роулінг,,Шоста книга серії
128,book,Гаррі Поттер і Дари Смерті,Фентезі;Пригоди,2007,Джоан Роулінг,,Фінальна книга про Гаррі Поттера
129,book,Володар перснів: Братство персня,Фентезі;Пригоди,1954,Джон Роналд Руел Толкін,,Перша книга епічної трилогії
130,book,Володар перснів: Дві вежі,Фентезі;Пригоди,1954,Джон Роналд Руел Толкін,,Друга частина трилогії
131,book,Володар перснів: Повернення короля,Фентезі;Пригоди,1955,Джон Роналд Руел Толкін,,Фінальна частина епопеї
132,book,Гобіт,Фентезі;Пригоди,1937,Джон Роналд Руел Толкін,,Пригоди Більбо Беґінса
133,book,Хроніки Нарнії: Лев відьма та шафа,Фентезі;Пригоди,1950,Клайв Стейплз Льюїс,,Перша книга про чарівний світ Нарнії
134,book,Пісня льоду й полум'я,Фентезі;Драма,1996,Джордж Мартін,,Перша книга епічної саги
135,book,Гра престолів,Фентезі;Драма,1996,Джордж Мартін,,Боротьба за Залізний трон
136,book,Відьмак: Останнє бажання,Фентезі;Пригоди,1993,Анджей Сапковський,,Збірка оповідань про Ґеральта з Рівії
137,book,Відьмак: Меч призначення,Фентезі;Пригоди,1992,Анджей Сапковський,,Друга збірка про відьмака
138,book,Відьмак: Кров ельфів,Фентезі;Пригоди,1994,Анджей Сапковський,,Перший роман саги
139,book,Метро 2033,Постапокаліпсис;Наукова фантастика,2005,Дмитро Глуховський,,Історія виживання у московському метро
140,book,Метро 2034,Постапокаліпсис;Наукова фантастика,2009,Дмитро Глуховський,,Продовження історії метро
141,book,Дюна,Наукова фантастика;Пригоди,1965,Френк Герберт,,Епічна сага про пустельну планету
142,book,Автостопом по галактиці,Наукова фантастика;Гумор,1979,Дуглас Адамс,,Комічна космічна одіссея
143,book,Марсіанин,Наукова фантастика;Пригоди,2011,Енді Вір,,Історія виживання на Марсі
144,book,Готовий гравець один,Наукова фантастика;Пригоди,2011,Ернест Клайн,,Пригоди у віртуальній реальності
145,book,Нейромант,Кіберпанк;Наукова фантастика,1984,Вільям Гібсон,,Класика кіберпанку
146,book,Сніговик,Детектив;Трилер,2007,Ю Несбе,,Скандинавський трилер про серійного вбивцю
147,book,Печера,Детектив;Трилер,2008,Ю Несбе,,Детектив Гаррі Голе розслідує вбивство
148,book,Зірка на ім'я Сонце,Наукова фантастика;Філософія,1980,Станіслав Лем,,Філософська фантастика про контакт з іншим розумом
149,book,Солярис,Наукова фантастика;Філософія,1961,Станіслав Лем,,Психологічна драма на космічній станції
150,book,Кіборги,Сучасна проза;Документалістика,2015,Євген Положій,,Документальна книга про героїв Донецького аеропорту
151,book,Чужі,Сучасна проза;Драма,2018,Володимир Рафєєнко,,Роман про війну та ідентичність
152,book,Лінія Арбенги,Сучасна проза;Драма,2019,Володимир Рафєєнко,,Історія втрати дому через війну
153,book,Віддаль,Сучасна проза;Драма,2020,Максим Кідрук,,Психологічний трилер про викрадення
154,book,Не озирайся і мовчи,Сучасна проза;Трилер,2015,Максим Кідрук,,Український трилер про втечу від минулого
155,book,Зазирни у мої сни,Сучасна проза;Трилер,2017,Максим Кідрук,,Містичний трилер про паралельні реальності
156,book,Жорстоке небо,Сучасна проза;Трилер,2018,Максим Кідрук,,Трилер про авіакатастрофу
157,book,Мексиканські хроніки,Сучасна проза;Гумор,2000,Андрій Кокотюха,,Гумористичні оповідання про українця в Мексиці
158,book,Ключ,Сучасна проза;Містика,2017,Арсен Мірзоян,,Містичний роман українського музиканта
159,book,Я бачу вас пані,Сучасна проза;Містика,2021,Богдана Матіяш,,Містична історія про минуле та сучасність
160,book,Готель Україна,Сучасна проза;Постмодернізм,2014,Юрій Андрухович,,Постмодерністська мандрівка Києвом
161,book,Таємниця,Сучасна проза;Містика,2007,Тарас Прохасько,,Філософська проза про таємниці життя
162,book,Непрості,Сучасна проза;Містика,2002,Тарас Прохасько,,Збірка есеїв та оповідань
163,book,Вісімдесет,Сучасна проза;Драма,2023,Ліна Костенко,,Автобіографічна проза поетеси
164,book,Записки українського самашедшого,Сучасна проза;Гумор,2010,Ліна Костенко,,Сатирична проза про українську дійсність
165,book,Небо і земля,Сучасна проза;Драма,2018,Ірен Роздобудько,,Роман про кохання та долю
166,book,Шості двері,Сучасна проза;Містика,2017,Ірен Роздобудько,,Містичний роман про паралельні світи
167,book,Все й одразу,Сучасна проза;Драма,2018,Тамара Горіха Зерня,,Роман про жіночу долю
168,book,Дике поле,Сучасна проза;Драма,2015,Тамара Горіха Зерня,,Історія про степову Україну
169,book,Чорний ворон,Сучасна проза;Детектив,2009,Василь Шкляр,,Історичний детектив про козацькі часи
170,book,Залишенець,Історична проза;Драма,2013,Василь Шкляр,,Роман про козака-характерника
171,book,Маруся,Сучасна проза;Драма,2020,Василь Шкляр,,Історія про жінку на війні
172,book,Століття Якова,Сучасна проза;Сімейна сага,2017,Людмила Улицька,,Багатопланова історія XX століття
173,book,Щоденник пам'яті,Романтика;Драма,1996,Ніколас Спаркс,,Романтична історія про вічне кохання
174,book,Сутінки,Фентезі;Романтика,2005,Стефані Маєр,,Романтична історія про вампірів
175,book,Голодні ігри,Антиутопія;Пригоди,2008,Сьюзен Коллінз,,Антиутопія про виживання підлітків
176,book,Дивергент,Антиутопія;Пригоди,2011,Вероніка Рот,,Антиутопічний роман про поділене суспільство
177,book,Лабіринт бігуна,Антиутопія;Пригоди,2009,Джеймс Дашнер,,Підліткова антиутопія про лабіринт
178,book,П'ятдесят відтінків сірого,Романтика;Драма,2011,Е. Л. Джеймс,,Романтична історія для дорослих
179,book,Віддаль між нами,Романтика;Драма,2016,Коллін Гувер,,Сучасна романтична історія
180,book,Винний у коханні,Романтика;Драма,2020,Коллін Гувер,,Драматична історія кохання
181,book,Ми троє,Романтика;Драма,2014,Джоджо Мойєс,,Романтична історія про дівчину та інваліда
182,book,Дівчина у потязі,Трилер;Містика,2015,Пола Гокінс,,Психологічний трилер про свідка злочину
183,book,Зникла,Трилер;Містика,2012,Джилліан Флінн,,Трилер про зникнення дружини
184,book,Гостра річ,Трилер;Містика,2006,Джилліан Флінн,,Психологічний трилер про журналістку
185,book,Мовчання ягнят,Трилер;Жахи,1988,Томас Гарріс,,Класичний трилер про серійного вбивцю
186,book,Ганнібал,Трилер;Жахи,1999,Томас Гарріс,,Продовження історії Ганнібала Лектера
187,book,Сяйво,Жахи;Містика,1977,Стівен Кінг,,Жахлива історія про готель з привидами
188,book,Воно,Жахи;Містика,1986,Стівен Кінг,,Історія про містичного клоуна-вбивцю
189,book,Зелена миля,Драма;Містика,1996,Стівен Кінг,,Драма про чудеса у в'язниці
190,book,Протистояння,Жахи;Постапокаліпсис,1978,Стівен Кінг,,Епічна історія про епідемію
191,book,Місері,Жахи;Трилер,1987,Стівен Кінг,,Психологічний трилер про письменника в полоні
192,book,Темна вежа,Фентезі;Жахи,1982,Стівен Кінг,,Перша книга епічної серії
193,book,Побачення з Рамою,Наукова фантастика;Пригоди,1973,Артур Кларк,,Зустріч з інопланетним кораблем
194,book,2001: Космічна одіссея,Наукова фантастика;Філософія,1968,Артур Кларк,,Філософська космічна історія
195,book,Гра Ендера,Наукова фантастика;Пригоди,1985,Орсон Скотт Кард,,Роман про підготовку дітей до війни
196,book,Підйом Ендера,Наукова фантастика;Пригоди,2013,Орсон Скотт Кард,,Продовження історії Ендера
197,book,Старик і море,Класика;Філософія,1952,Ернест Гемінґвей,,Притча про боротьбу людини
198,book,Алхімік,Філософія;Пригоди,1988,Пауло Коельо,,Філософська притча про пошуки мрії
199,book,Одинадцять хвилин,Філософія;Драма,2003,Пауло Коельо,,Роман про кохання та пошуки себе
200,book,Вероніка вирішує померти,Філософія;Драма,1998,Пауло Коельо,,Філософський роман про цінність життя
201,movie,Білий птах з чорною ознакою,Драма;Воєнний,1971,Юрій Іллєнко,Іван Миколайчук;Ліда Терлецька,Філософська драма про Першу світову війну
202,movie,Камінний хрест,Драма;Історичний,1968,Леонід Осика,Дмитро Милютенко;Галина Демчук,Екранізація новели Василя Стефаника
203,movie,Ніч перед Різдвом,Комедія;Фентезі,1961,Олександр Роу,Юрій Тавров;Алла Ларіонова,Казкова комедія за Гоголем
204,movie,Вій,Жахи;Містика,1967,Георгій Кропачов,Леонід Куравльов;Наталія Варлей,Містична екранізація повісті Гоголя
205,movie,Земля,Драма;Історичний,1930,Олександр Довженко,Семен Свашенко;Степан Шкурат,Поетична драма про українське село
206,movie,Звенигора,Драма;Фентезі,1928,Олександр Довженко,Микола Надемський;Семен Свашенко,Експериментальний фільм про українські легенди
207,movie,Аеліта,Наукова фантастика;Пригоди,1924,Яків Протазанов,Юлія Солнцева;Ігор Ільїнський,Радянська наукова фантастика про Марс
208,movie,Ірма Веп,Драма;Комедія,1996,Олів'є Ассаяс,Маґґі Чун;Жан-П'єр Лео,Французька метакомедія про кіно
209,movie,Комісар,Драма;Воєнний,1967,Олександр Аскольдов,Нонна Мордюкова;Ролан Биков,Драма про громадянську війну
210,movie,Іронія долі або з легким паром,Комедія;Романтика,1975,Ельдар Рязанов,Андрій Мягков;Барбара Брильська,Культова романтична комедія
211,movie,Москва сльозам не вірить,Драма;Романтика,1980,Володимир Меньшов,Віра Алентова;Олексій Баталов,Оскароносна драма про долю жінок
212,movie,Осінній марафон,Драма;Комедія,1979,Георгій Данелія,Олег Басілашвілі;Наталія Гундарева,Трагікомедія про чоловіка між двох жінок
213,movie,Кін-дза-дза,Наукова фантастика;Комедія,1986,Георгій Данелія,Станіслав Любшин;Євген Леонов,Культова фантастична комедія
214,movie,Служили два товариші,Драма;Воєнний,1968,Євген Карелов,Олег Янковський;Ролан Биков,Драма про громадянську війну
215,movie,Біле сонце пустелі,Пригоди;Вестерн,1970,Володимир Мотиль,Анатолій Кузнєцов;Павло Луспєкаєв,Червоний вестерн про Червону армію
216,movie,Брудні танці,Романтика;Драма,1987,Еміль Ардоліно,Патрік Свейзі;Дженніфер Грей,Романтична історія про танці
217,movie,Назад у майбутнє,Наукова фантастика;Комедія,1985,Роберт Земекіс,Майкл Дж. Фокс;Крістофер Ллойд,Пригоди з машиною часу
218,movie,Назад у майбутнє 2,Наукова фантастика;Комедія,1989,Роберт Земекіс,Майкл Дж. Фокс;Крістофер Ллойд,Продовження пригод у часі
219,movie,Назад у майбутнє 3,Наукова фантастика;Комедія,1990,Роберт Земекіс,Майкл Дж. Фокс;Крістофер Ллойд,Фінал трилогії на Дикому Заході
220,movie,Титанік,Драма;Романтика,1997,Джеймс Кемерон,Леонардо ДіКапріо;Кейт Вінслет,Епічна історія кохання на тонучому кораблі
221,movie,Аватар,Наукова фантастика;Пригоди,2009,Джеймс Кемерон,Сем Вортінґтон;Зоє Салдана,Візуальна епопея про планету Пандора
222,movie,Аватар: Шлях води,Наукова фантастика;Пригоди,2022,Джеймс Кемерон,Сем Вортінґтон;Зоє Салдана,Продовження історії сім'ї Саллі
223,movie,Гладіатор,Історичний;Екшн,2000,Рідлі Скотт,Рассел Кроу;Хоакін Фенікс,Епічна історія римського гладіатора
224,movie,Бійцівський клуб,Драма;Трилер,1999,Девід Фінчер,Бред Пітт;Едвард Нортон,Культовий фільм про підпільні бої
225,movie,Сім,Трилер;Жахи,1995,Девід Фінчер,Бред Пітт;Морган Фрімен,Детективний трилер про серійного вбивцю
226,movie,Зодіак,Трилер;Детектив,2007,Девід Фінчер,Джейк Джилленгол;Роберт Дауні мл.,Фільм про розслідування вбивств Зодіака
227,movie,Соціальна мережа,Драма;Біографія,2010,Девід Фінчер,Джессі Айзенберґ;Ендрю Ґарфілд,Історія створення Facebook
228,movie,Втрачений в перекладі,Драма;Комедія,2003,Софія Коппола,Біл Мюррей;Скарлетт Йоганссон,Філософська комедія про самотність у Токіо
229,movie,Мемлекет,Трилер;Містика,2000,Крістофер Нолан,Гай Пірс;Керрі-Енн Мосс,Трилер про чоловіка без короткочасної пам'яті
230,movie,Престиж,Драма;Містика,2006,Крістофер Нолан,Крістіан Бейл;Г'ю Джекман,Фільм про суперництво двох ілюзіоністів
231,movie,Дюнкерк,Воєнний;Драма,2017,Крістофер Нолан,Фіонн Вайтгед;Том Гарді,Фільм про евакуацію військ з Дюнкерка
232,movie,Тенет,Наукова фантастика;Екшн,2020,Крістофер Нолан,Джон Девід Вашинґтон;Роберт Паттінсон,Складний екшн про маніпуляції часом
233,movie,Опенгеймер,Біографія;Драма,2023,Крістофер Нолан,Кілліан Мерфі;Роберт Дауні мл.,Біографічна драма про творця атомної бомби
234,movie,Криваве весілля,Драма;Історичний,2017,Андрій Пунін,Андрій Ісаєнко;Софія Галицька,Історична драма про терор 1930-х
235,movie,Ядерні відходи,Драма;Історичний,2012,Мирослав Слабошпицький,Олена Дмитрієва;Богдан Юсипчук,Чорно-білий фільм про Чорнобиль
236,movie,Плем'я,Драма;Експериментальне,2014,Мирослав Слабошпицький,Григорій Фесенко;Яна Новикова,Німий фільм про школу-інтернат
237,movie,Сторожова застава,Драма;Воєнний,2017,Юрій Ковальов,Анатолій Пашинін;Роман Ясіновський,Фільм про війну на Донбасі
238,movie,Іловайськ 2014,Драма;Воєнний,2019,Тарас Костанчук,Віктор Жданов;Олександр Макаров,Історія про трагічні події під Іловайськом
239,movie,Позивний Бандерас,Воєнний;Драма,2018,Ахтем Сеітаблаєв,Віктор Жданов;Олексій Горбунов,Фільм про кримських татар на війні
240,movie,Кіборги,Воєнний;Драма,2017,Ахтем Сеітаблаєв,Андрій Іскорнєв;Олександр Кобзар,Фільм про героїв Донецького аеропорту
241,movie,Додому,Драма;Воєнний,2019,Нарімане Мамедов,Ірма Вітовська;Віталіна Библив,Фільм про повернення кримських татар
242,movie,Мої думки тихі,Драма,2019,Антоніо Лукіч,Ірма Вітовська;Даша Барихіна,Експериментальна поетична драма
